"","geneID"
"702","SVE_1966800"
"703","SVE_0489600"
"704","SVE_0746300"
"705","SVE_1077800"
"706","SVE_0148100"
"707","SVE_1714600"
"708","SVE_0047200"
"709","SVE_0702500"
"710","SVE_1120200"
"711","SVE_0639100"
"712","SVE_0654000"
"713","SVE_0894600"
"714","SVE_0531000"
"715","SVE_1915800"
"716","SVE_0490800"
"717","SVE_1992400"
"718","SVE_0692900"
"719","SVE_0031600"
"720","SVE_0970600"
"721","SVE_2001700"
"722","SVE_1827500"
"723","SVE_0237300"
"724","SVE_0126300"
"725","SVE_1687700"
"726","SVE_0000441550"
"727","SVE_2000600"
"728","SVE_0674200"
"729","SVE_0984800"
"730","SVE_0280100"
"731","SVE_1757800"
"732","SVE_1796600"
"733","SVE_0636500"
"734","SVE_1038100"
"735","SVE_0617900"
"736","SVE_1642100"
"737","SVE_0556500"
"738","SVE_0544500"
"739","SVE_0536900"
"740","SVE_0254500"
"741","SVE_0425700"
"742","SVE_1841000"
"743","SVE_0429900"
"744","SVE_0635100"
"745","SVE_0631100"
"746","SVE_1748600"
"747","SVE_0514300"
"748","SVE_0944500"
"749","SVE_0467500"
"750","SVE_0051500"
"751","SVE_0318200"
"752","SVE_0704800"
"753","SVE_1948300"
"754","SVE_0967600"
"755","SVE_0816000"
"756","SVE_1700800"
"757","SVE_1899300"
"758","SVE_0571100"
"759","SVE_1028000"
"760","SVE_0179400"
"761","SVE_1884800"
"762","SVE_1735500"
"763","SVE_1246900"
"764","SVE_0645400"
"765","SVE_0471200"
"766","SVE_1971100"
"767","SVE_0654100"
"768","SVE_0734300"
"769","SVE_1687200"
"770","SVE_0512400"
"771","SVE_1996800"
"772","SVE_0491400"
"773","SVE_0979400"
"774","SVE_0637600"
"775","SVE_0592100"
"776","SVE_1850700"
"777","SVE_0652500"
"778","SVE_0363400"
"779","SVE_0292100"
"780","SVE_0283300"
"781","SVE_0841000"
"782","SVE_0529800"
"783","SVE_0581400"
"784","SVE_0630500"
"785","SVE_0071000"
"786","SVE_1962500"
"787","SVE_1724000"
"788","SVE_0469700"
"789","SVE_1222000"
"790","SVE_1758000"
"791","SVE_1534400"
"792","SVE_1748500"
"793","SVE_1029900"
"794","SVE_0913000"
"795","SVE_0123300"
"796","SVE_0215000"
"797","SVE_0123000"
"798","SVE_0514900"
"799","SVE_0354300"
"800","SVE_1738800"
"801","SVE_0222500"
"802","SVE_0213400"
"803","SVE_0995900"
"804","SVE_0307900"
"805","SVE_0692300"
"806","SVE_0459000"
"807","SVE_1981000"
"808","SVE_1080600"
"809","SVE_1881700"
"810","SVE_0753800"
"811","SVE_0743200"
"812","SVE_0163500"
"813","SVE_1925000"
"814","SVE_0897400"
"815","SVE_1812500"
"816","SVE_0095700"
"817","SVE_0128800"
"818","SVE_1636300"
"819","SVE_1087800"
"820","SVE_0944100"
"821","SVE_1740600"
"822","SVE_1909400"
"823","SVE_0225600"
"824","SVE_1249100"
"825","SVE_0717700"
"826","SVE_0147800"
"827","SVE_0212400"
"828","SVE_1932700"
"829","SVE_0131900"
"830","SVE_1935800"
"831","SVE_0242000"
"832","SVE_1707400"
"833","SVE_1164400"
"834","SVE_1739800"
"835","SVE_2010300"
"836","SVE_1002200"
"837","SVE_0483900"
"838","SVE_1243000"
"839","SVE_0004900"
"840","SVE_1681700"
"841","SVE_1009500"
"842","SVE_1976900"
"843","SVE_1185400"
"844","SVE_0981400"
"845","SVE_1833500"
"846","SVE_0599800"
"847","SVE_0317200"
"848","SVE_1946800"
"849","SVE_0723800"
"850","SVE_1000125533"
"851","SVE_1087600"
"852","SVE_1988200"
"853","SVE_1105800"
"854","SVE_1705100"
"855","SVE_0106400"
"856","SVE_1964700"
"857","SVE_1222600"
"858","SVE_1832600"
"859","SVE_1030900"
"860","SVE_1662300"
"861","SVE_0951300"
"862","SVE_0083700"
"863","SVE_1683500"
"864","SVE_0908100"
"865","SVE_1117800"
"866","SVE_1050200"
"867","SVE_0394100"
"868","SVE_0461300"
"869","SVE_1858300"
"870","SVE_0519500"
"871","SVE_0130200"
"872","SVE_0446500"
"873","SVE_1079100"
"874","SVE_1793000"
"875","SVE_0361200"
"876","SVE_1961800"
"877","SVE_1080700"
"878","SVE_0668500"
"879","SVE_1892200"
"880","SVE_1631400"
"881","SVE_0817800"
"882","SVE_0305100"
"883","SVE_0485100"
"884","SVE_1728500"
"885","SVE_1693200"
"886","SVE_0143000"
"887","SVE_1015100"
"888","SVE_0020700"
"889","SVE_0431300"
"890","SVE_0178800"
"891","SVE_0418100"
"892","SVE_1673600"
"893","SVE_1151200"
"894","SVE_1843700"
"895","SVE_1609900"
"896","SVE_1701800"
"897","SVE_0000399650"
"898","SVE_0783500"
"899","SVE_0998600"
"900","SVE_1704900"
"901","SVE_1571300"
"902","SVE_1772700"
"903","SVE_1304100"
"904","SVE_1713300"
"905","SVE_0480800"
"906","SVE_0803300"
"907","SVE_1362400"
"908","SVE_0635000"
"909","SVE_0393700"
"910","SVE_1601700"
"911","SVE_1726400"
"912","SVE_0139100"
"913","SVE_1266200"
"914","SVE_0559400"
"915","SVE_0837100"
"916","SVE_1728600"
"917","SVE_0936100"
"918","SVE_0313100"
"919","SVE_1932600"
"920","SVE_0833900"
"921","SVE_0686300"
"922","SVE_0675100"
"923","SVE_0992500"
"924","SVE_1244700"
"925","SVE_0368400"
"926","SVE_0876400"
"927","SVE_0021600"
"928","SVE_0124400"
"929","SVE_1949400"
"930","SVE_1117500"
"931","SVE_0141400"
"932","SVE_1016800"
"933","SVE_0271200"
"934","SVE_0693100"
"935","SVE_0857200"
"936","SVE_1843800"
"937","SVE_0000569650"
"938","SVE_0952000"
"939","SVE_0541500"
"940","SVE_1789000"
"941","SVE_0149400"
"942","SVE_0643900"
"943","SVE_0423300"
"944","SVE_0513500"
"945","SVE_0289800"
"946","SVE_1752700"
"947","SVE_0033500"
"948","SVE_0579200"
"949","SVE_1164300"
"950","SVE_0879500"
"951","SVE_0621000"
"952","SVE_0229600"
"953","SVE_1763700"
"954","SVE_1044500"
"955","SVE_0725600"
"956","SVE_0196600"
"957","SVE_0601600"
"958","SVE_0442900"
"959","SVE_0540700"
"960","SVE_0228300"
"961","SVE_0119100"
"962","SVE_0932400"
"963","SVE_1328800"
"964","SVE_1097600"
"965","SVE_1218200"
"966","SVE_1977500"
"967","SVE_1822700"
"968","SVE_1572100"
"969","SVE_1575200"
"970","SVE_0862800"
"971","SVE_1623300"
"972","SVE_1884200"
"973","SVE_0697200"
"974","SVE_0466500"
"975","SVE_0146500"
"976","SVE_0121200"
"977","SVE_0979700"
"978","SVE_0555700"
"979","SVE_0000936150"
"980","SVE_1671600"
"981","SVE_0971800"
"982","SVE_1772300"
"983","SVE_0944200"
"984","SVE_1680700"
"985","SVE_0123200"
"986","SVE_0489500"
"987","SVE_0447900"
"988","SVE_1782300"
"989","SVE_0590800"
"990","SVE_0959400"
"991","SVE_1620700"
"992","SVE_1982600"
"993","SVE_0091100"
"994","SVE_1630100"
"995","SVE_1160000"
"996","SVE_0865000"
"997","SVE_1867300"
"998","SVE_1918200"
"999","SVE_0645100"
"1000","SVE_0410300"
"1001","SVE_2023100"
"1002","SVE_0631000"
"1003","SVE_1902700"
"1004","SVE_1017200"
"1005","SVE_1973200"
"1006","SVE_1729400"
"1007","SVE_1888000"
"1008","SVE_1805100"
"1009","SVE_0479500"
"1010","SVE_0495400"
"1011","SVE_0783700"
"1012","SVE_0030200"
"1013","SVE_0756100"
"1014","SVE_0500400"
"1015","SVE_0120000"
"1016","SVE_1801400"
"1017","SVE_0868800"
"1018","SVE_1593600"
"1019","SVE_1056500"
"1020","SVE_0836400"
"1021","SVE_1318100"
